Sophie,Moreau,sophie.moreau@student.com,INFO1
Thomas,Leroy,thomas.leroy@student.com,INFO2
Camille,Dubois,camille.dubois@student.com,INFO3
Lucas,Fontaine,lucas.fontaine@student.com,INFO1
Chloé,Roux,chloe.roux@student.com,INFO2
Emma,Leclerc,emma.leclerc@student.com,INFO3
Alex,Robinson,alex.robinson@student.com,INFO1
Clara,Martin,clara.martin@student.com,INFO2
Nathan,Girard,nathan.girard@student.com,INFO3
Léa,Bernard,lea.bernard@student.com,INFO1
Louis,Caron,louis.caron@student.com,INFO2
Inès,Gauthier,ines.gauthier@student.com,INFO3
Hugo,Michel,hugo.michel@student.com,INFO1
Lily,Dupuis,lily.dupuis@student.com,INFO2
Ethan,Lefevre,ethan.lefevre@student.com,INFO3
Manon,Gagnon,manon.gagnon@student.com,INFO1
Jules,Lavoie,jules.lavoie@student.com,INFO2
Zoé,Mercier,zoe.mercier@student.com,INFO3
Gabriel,Boucher,gabriel.boucher@student.com,INFO1
Léna,Richard,lena.richard@student.com,INFO2
Olivier,Pelletier,olivier.pelletier@student.com,INFO3
Juliette,Lalande,juliette.lalande@student.com,INFO1
Noah,Gagné,noah.gagne@student.com,INFO2
Mia,Roy,mia.roy@student.com,INFO3
Adam,Tremblay,adam.tremblay@student.com,INFO1
Sarah,Lemieux,sarah.lemieux@student.com,INFO2
Leo,Dion,leo.dion@student.com,INFO3
Eva,Leduc,eva.leduc@student.com,INFO1
William,Beauchamp,william.beauchamp@student.com,INFO2
Laurie,St-Pierre,laurie.stpierre@student.com,INFO3
Leo,Grenier,leo.grenier@student.com,INFO1
Lina,Desjardins,lina.desjardins@student.com,INFO2
Luc,Belanger,luc.belanger@student.com,INFO3
Charlotte,Simard,charlotte.simard@student.com,INFO1
Raphael,Lapointe,raphael.lapointe@student.com,INFO2
Amelia,Couture,amelia.couture@student.com,INFO3
Eliot,Guay,eliot.guay@student.com,INFO1
Clara,Boisvert,clara.boisvert@student.com,INFO2
Antoine,Gagnon,antoine.gagnon@student.com,INFO3
Océane,Tardif,oceane.tardif@student.com,INFO1
Mateo,Renaud,mateo.renaud@student.com,INFO2
Gabrielle,Lemay,gabrielle.lemay@student.com,INFO3
Théo,Poulin,theo.poulin@student.com,INFO1
Emma,Rioux,emma.rioux@student.com,INFO2
Ethan,Lafontaine,ethan.lafontaine@student.com,INFO3
Léa,Lessard,lea.lessard@student.com,INFO1
Liam,Fournier,liam.fournier@student.com,INFO2
Alice,Dubé,alice.dube@student.com,INFO3
